urdu,roman
آ,aa
ا,a
ب,b
پ,p
ت,t
ٹ,t
ث,sa
ج,j
چ,ch
ح,ha
خ,kh
د,d
ڈ,da
ذ,za
ر,r
ڑ,ra
ز,za
ژ,ze
س,s
ش,sh
ص,sa
ض,zu
ط,ta
ظ,za
ع,a
غ,gh
ف,f
ق,k
ک,k
گ,gh
ل,l
م,m
ن,n
ں,n
و,w
ہ,ha
ی,y
ے,ay
ء,a
ئ,i
ھ,h
